Propiedad usada,"Venta, Casa","Los Agustino / Av.Ossa, Ñuñoa",,158.0,219.0,4238325,10100.0,,,5D/4B
Propiedad usada,"Venta, Casa","José Domingo Cañas 3100, Ñuñoa",,141.0,256.0,4065627,10161.6,,,3D/2B
Propiedad usada,"Venta, Casa","Plaza Ñuñoa - Plaza Ñuñoa, Ñuñoa",,120.0,236.0,4185404,10215.9,,,3D/2B
Propiedad usada,"Venta, Casa","Jose Domingo Cañas / Jose Pedro Alessandri, Ñuñoa",,140.0,260.0,3479890,10234.8,,,3D/2B
Propiedad usada,"Venta, Casa","Irarrazaval/Juan Enrique Concha, Ñuñoa",,181.0,236.0,4318800,10236.9,,,3D/2B
Propiedad usada,"Venta, Casa","José Domingo Cañas 3084, Ñuñoa",,141.0,256.0,3911955,10292.1,,,3D/2B
Propiedad usada,"Venta, Casa","Pedro hemrick ling / Galicia, Ñuñoa",,112.0,400.0,3664210,10299.1,,,4D/2B
Propiedad usada,"Venta, Casa","Propiedad de dos pisos con salida direct, Ñuñoa",,197.0,430.0,4271765,10500.0,,,7D/3B
Propiedad usada,"Venta, Casa","Tobalaba / Diego Almagro, Ñuñoa",,155.0,260.0,4364710,10580.7,,,3D/2B
Propiedad usada,"Venta, Casa","Eliecer Parada / Jaime Guzmán Errázuriz, Ñuñoa",,155.0,260.0,4302539,10700.0,,,3D/1B
Propiedad usada,"Venta, Casa","Cercano al Campus Oriente de la UC, Ñuñoa",,155.0,260.0,4468638,10700.0,,,4D/2B
Propiedad usada,"Venta, Casa","5 dormitorios, Parque Juan XXIII, Ñuñoa",,210.0,270.0,3972031,10884.2,,,5D/3B
Propiedad usada,"Venta, Casa","Cercano a futura Estación de metro ""Chile-España"", Ñuñoa",,240.0,270.0,4468647,10884.5,,,6D/3B
Propiedad usada,"Venta, Casa","ECHEÑIQUE/LUIS PEREIRA PF, Ñuñoa",,200.0,250.0,4437815,10901.9,,,6D/4B
Propiedad usada,"Venta, Casa","Irarrazabal / Plaza Ñuñoa, Ñuñoa",,237.0,263.0,4315310,10925.0,,,5D/3B
Propiedad usada,"Venta, Casa","Francisco de Villagra, Ñuñoa",,140.0,300.0,3702628,10930.8,,,3D/1B
Propiedad usada,"Venta, Casa","Eduardo Castillo Velasco, Ñuñoa",,170.0,390.0,3392157,10953.5,,,3D/2B
Propiedad usada,"Venta, Casa","LOS JARDINES-CASTILLO VELASCO 430, Ñuñoa",,210.0,278.0,3563747,10956.7,,,5D/3B
